age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
36,0,212465,0,13,2,0,0,4,1,0,0,40,37,<=50K
43,2,346189,2,14,2,3,0,4,1,0,0,50,37,>50K
34,2,107914,0,13,2,12,0,4,1,0,0,47,37,>50K
25,2,220931,0,13,4,9,1,4,1,0,0,43,27,<=50K
25,2,205947,0,13,2,9,0,4,1,0,0,40,37,<=50K
24,4,188274,0,13,4,11,1,4,1,0,0,50,37,<=50K
36,1,403681,0,13,2,9,0,4,1,0,0,40,37,>50K
34,1,382078,0,13,2,3,0,4,1,3103,0,50,37,>50K
30,2,101135,0,13,4,3,1,4,0,0,0,50,37,<=50K
26,2,31208,2,14,4,3,1,4,0,0,0,40,37,<=50K
23,2,213734,0,13,4,3,1,4,1,0,0,40,37,<=50K
33,2,176410,2,14,2,9,5,4,0,5178,0,10,37,>50K
34,2,198751,2,14,4,7,1,0,1,0,0,40,37,<=50K
25,2,235218,0,13,4,3,3,4,0,0,0,40,37,<=50K
43,2,179866,0,13,0,11,4,4,0,0,0,40,37,>50K
31,1,198770,0,13,0,9,4,4,0,0,0,60,37,<=50K
48,0,42972,1,16,2,9,5,4,0,0,0,40,37,>50K
41,2,239296,2,14,2,9,0,4,1,0,2415,50,37,>50K
42,3,100793,1,16,2,9,0,4,1,0,0,41,37,>50K
46,2,83822,2,14,2,9,0,4,1,0,0,40,37,<=50K
34,2,159303,2,14,4,9,3,4,0,0,0,30,37,<=50K
40,5,67874,0,13,2,0,0,4,1,0,1887,45,37,>50K
22,2,537222,0,13,4,11,1,4,1,0,0,25,37,<=50K
38,3,93225,0,13,0,3,1,4,1,0,0,40,37,<=50K
29,2,142249,0,13,4,11,3,4,1,0,0,40,37,<=50K
46,5,56841,2,14,2,3,0,4,1,0,0,45,37,>50K
34,2,189759,2,14,4,9,1,4,1,0,0,40,37,<=50K
26,2,239877,0,13,4,0,1,4,0,0,0,40,37,<=50K
48,1,67229,2,14,5,0,4,2,0,0,0,40,37,<=50K
34,2,198613,2,14,4,3,3,4,1,4650,0,40,37,<=50K
37,2,203079,0,13,6,3,1,4,0,0,0,55,37,<=50K
33,2,196385,0,13,2,3,0,4,1,0,1977,40,37,>50K
39,2,163205,0,13,5,9,1,4,1,0,0,50,37,>50K
42,3,240628,3,15,2,9,5,4,0,0,0,50,37,>50K
28,3,142443,0,13,2,3,0,4,1,0,0,50,37,<=50K
45,1,185588,0,13,0,9,4,4,0,0,0,40,37,<=50K
34,3,34848,0,13,2,11,0,4,1,0,0,54,37,<=50K
34,2,357145,0,13,2,9,5,4,0,0,0,50,37,>50K
39,2,22463,0,13,2,13,0,4,1,0,0,40,37,<=50K
23,2,180497,0,13,4,12,3,2,0,0,0,32,37,<=50K
23,2,42251,0,13,4,3,1,4,0,0,0,45,37,<=50K
34,2,162312,0,13,2,0,0,1,1,0,0,40,28,<=50K
46,2,312088,0,13,2,9,0,4,1,15024,0,38,37,>50K
38,2,237943,3,15,2,9,0,4,1,0,0,50,37,<=50K
24,2,313956,0,13,2,9,0,4,1,0,0,40,37,>50K
28,2,193868,0,13,4,12,3,4,1,0,0,50,37,<=50K
28,1,134890,2,14,4,9,1,4,1,0,0,40,37,<=50K
26,2,132179,0,13,4,0,3,4,0,0,0,40,37,<=50K
27,2,116372,2,14,4,3,1,4,0,0,0,40,37,<=50K
46,5,149337,2,14,4,3,1,4,1,0,0,38,37,<=50K
33,2,265168,0,13,2,11,0,2,1,0,0,55,37,<=50K
24,2,224238,0,13,4,0,3,4,1,0,0,40,37,<=50K
42,3,212894,0,13,2,3,0,4,1,0,0,60,37,>50K
44,2,184527,0,13,0,3,4,4,0,4934,0,45,37,>50K
37,2,98776,0,13,2,3,0,4,1,0,0,40,37,>50K
33,2,95530,2,14,2,9,0,4,1,0,0,50,37,<=50K
45,1,54038,2,14,0,9,4,4,0,0,0,42,37,<=50K
